Date,active_power[W],kWh
2016-01-02 14:00,217.04,0.054258865
2016-01-02 14:15,256.84,0.064210548
2016-01-02 14:30,2412.94,0.603234619
2016-01-02 14:45,436.22,0.109056038
2016-01-02 15:00,412.67,0.103166275
2016-01-02 15:15,440.32,0.110079102
2016-01-02 15:30,574.65,0.143663055
2016-01-02 15:45,467.22,0.116804108
2016-01-02 16:00,355.53,0.088882034
2016-01-02 16:15,441.97,0.110491425
2016-01-02 16:30,223.90,0.055975777
2016-01-02 16:45,293.00,0.073249557
2016-01-02 17:00,288.19,0.072047684
2016-01-02 17:15,833.98,0.208495651
2016-01-02 17:30,916.61,0.22915329
2016-01-02 17:45,1120.64,0.280159698
2016-01-02 18:00,1083.94,0.270985107
2016-01-02 18:15,915.29,0.228823502
2016-01-02 18:30,2888.07,0.722016907
2016-01-02 18:45,1120.05,0.280012146
2016-01-02 19:00,850.65,0.212663422
2016-01-02 19:15,908.14,0.22703479
2016-01-02 19:30,833.72,0.208430115
2016-01-02 19:45,922.15,0.23053801
2016-01-02 20:00,244.06,0.061015282
2016-01-02 20:15,967.23,0.241806976
2016-01-02 20:30,441.99,0.110497864
2016-01-02 20:45,410.56,0.102640572
2016-01-02 21:00,2473.18,0.618295166
2016-01-02 21:15,382.80,0.095699715
2016-01-02 21:30,482.07,0.120517448
2016-01-02 21:45,566.16,0.141539703
2016-01-02 22:00,529.64,0.132410492
2016-01-02 22:15,473.44,0.118360504
2016-01-02 22:30,432.22,0.108055893
2016-01-02 22:45,520.25,0.130062515
2016-01-02 23:00,508.87,0.127217407
2016-01-02 23:15,406.90,0.101725983
2016-01-02 23:30,408.99,0.102246353
2016-01-02 23:45,401.89,0.100472351
2016-01-03 00:00,473.79,0.118447617
2016-01-03 00:15,510.89,0.127723572
2016-01-03 00:30,496.66,0.124165291
2016-01-03 00:45,428.33,0.107082443
2016-01-03 01:00,428.24,0.107059464
2016-01-03 01:15,467.14,0.116785339
2016-01-03 01:30,523.67,0.130917236
2016-01-03 01:45,370.21,0.092552109
2016-01-03 02:00,399.08,0.099769981
2016-01-03 02:15,362.53,0.090632767
2016-01-03 02:30,403.42,0.10085463
2016-01-03 02:45,440.64,0.110161026
2016-01-03 03:00,292.07,0.073018707
2016-01-03 03:15,290.71,0.072677704
2016-01-03 03:30,291.34,0.072834145
2016-01-03 03:45,372.82,0.093205482
2016-01-03 04:00,374.04,0.093509338
2016-01-03 04:15,326.99,0.081748291
2016-01-03 04:30,324.27,0.081068672
2016-01-03 04:45,326.78,0.081694702
2016-01-03 05:00,416.85,0.104211586
2016-01-03 05:15,365.71,0.091427338
2016-01-03 05:30,290.60,0.072651184
2016-01-03 05:45,292.20,0.073050056
2016-01-03 06:00,287.55,0.071886948
2016-01-03 06:15,406.77,0.10169339
2016-01-03 06:30,399.49,0.099871559
2016-01-03 06:45,321.21,0.0803013
2016-01-03 07:00,326.14,0.081535362
2016-01-03 07:15,341.04,0.085260117
2016-01-03 07:30,396.18,0.099045364
2016-01-03 07:45,553.81,0.138451385
2016-01-03 08:00,474.42,0.118604919
2016-01-03 08:15,485.97,0.121492401
2016-01-03 08:30,319.95,0.079987671
2016-01-03 08:45,2591.13,0.64778302
2016-01-03 09:00,435.05,0.108763611
2016-01-03 09:15,383.37,0.095843376
2016-01-03 09:30,409.70,0.10242511
2016-01-03 09:45,318.59,0.079646545
2016-01-03 10:00,407.52,0.101879982
2016-01-03 10:15,466.11,0.116527985
2016-01-03 10:30,370.98,0.092743866
2016-01-03 10:45,365.88,0.091470703
2016-01-03 11:00,419.55,0.104886642
2016-01-03 11:15,2840.32,0.710080383
2016-01-03 11:30,457.03,0.114256439
2016-01-03 11:45,2329.68,0.582420532
2016-01-03 12:00,2743.31,0.68582843
2016-01-03 12:15,289.17,0.072291435
2016-01-03 12:30,316.87,0.079216835
2016-01-03 12:45,304.37,0.076093369
2016-01-03 13:00,2391.31,0.597827759
2016-01-03 13:15,2573.19,0.643296509
2016-01-03 13:30,488.76,0.122190155
2016-01-03 13:45,293.31,0.073328293
2016-01-03 14:00,938.11,0.234527115
2016-01-03 14:15,760.09,0.190021576
2016-01-03 14:30,2862.88,0.715720642
2016-01-03 14:45,804.87,0.201217651
2016-01-03 15:00,752.94,0.188234894
2016-01-03 15:15,878.07,0.219516998
2016-01-03 15:30,3041.25,0.76031311
2016-01-03 15:45,3156.71,0.789177917
2016-01-03 16:00,2152.55,0.538137329
2016-01-03 16:15,948.92,0.237230209
2016-01-03 16:30,987.16,0.24679068
2016-01-03 16:45,832.55,0.208137833
2016-01-03 17:00,2731.97,0.682991272
2016-01-03 17:15,5173.62,1.293403809
2016-01-03 17:30,1097.67,0.274418579
2016-01-03 17:45,1087.96,0.271989929
2016-01-03 18:00,1020.15,0.255036591
2016-01-03 18:15,1138.66,0.28466452
2016-01-03 18:30,1435.61,0.35890274
2016-01-03 18:45,1361.95,0.340486298
2016-01-03 19:00,2248.52,0.562129761
2016-01-03 19:15,1311.90,0.327973846
2016-01-03 19:30,2828.36,0.707089172
2016-01-03 19:45,1075.37,0.268842438
2016-01-03 20:00,1043.78,0.260944977
2016-01-03 20:15,1026.07,0.256516663
2016-01-03 20:30,3133.59,0.783397278
2016-01-03 20:45,1079.04,0.269760925
2016-01-03 21:00,1144.21,0.286053345
2016-01-03 21:15,1168.19,0.292047485
2016-01-03 21:30,1234.74,0.308685852
2016-01-03 21:45,1259.57,0.314893311
2016-01-03 22:00,3239.53,0.809881348
2016-01-03 22:15,1168.64,0.292160095
2016-01-03 22:30,3344.90,0.836226196
2016-01-03 22:45,1204.04,0.301009064
2016-01-03 23:00,2477.25,0.619312256
2016-01-03 23:15,430.66,0.107665245
2016-01-03 23:30,557.35,0.139336273
2016-01-03 23:45,716.85,0.179212646
2016-01-04 00:00,399.61,0.099901428
2016-01-04 00:15,416.69,0.10417276
2016-01-04 00:30,599.73,0.149931946
2016-01-04 00:45,274.72,0.068679039
2016-01-04 01:00,221.96,0.055488762
2016-01-04 01:15,142.86,0.035715881
2016-01-04 01:30,137.83,0.034457924
2016-01-04 01:45,169.59,0.042398216
2016-01-04 02:00,267.70,0.066924728
2016-01-04 02:15,251.47,0.062867653
2016-01-04 02:30,137.77,0.034442516
2016-01-04 02:45,100.68,0.025170824
2016-01-04 03:00,139.21,0.034802567
2016-01-04 03:15,169.96,0.042490864
2016-01-04 03:30,251.72,0.062931225
2016-01-04 03:45,246.04,0.061508915
2016-01-04 04:00,136.78,0.034195763
2016-01-04 04:15,138.43,0.034607166
2016-01-04 04:30,136.15,0.034036766
2016-01-04 04:45,217.71,0.054426781
2016-01-04 05:00,209.26,0.052314804
2016-01-04 05:15,167.87,0.041967796
2016-01-04 05:30,172.47,0.043118366
2016-01-04 05:45,103.74,0.025934479
2016-01-04 06:00,218.29,0.054571938
2016-01-04 06:15,212.82,0.053204411
2016-01-04 06:30,166.79,0.0416982
2016-01-04 06:45,185.24,0.046310333
2016-01-04 07:00,189.33,0.047333633
2016-01-04 07:15,237.51,0.059378349
